country;director;genre;imdb_rating;title;year
['США'];['Мэл Хаус'];['ужасы'];2.3;13-я жертва Колдовство 13: Кровь избранных;2008
['Чехословакия'];['Мартин Фрич'];['криминальный фильм', 'драма', 'экранизация'];6.9;13-й участок;1946
['Франция'];['Патрик Алессандрен', 'фр', 'Patrick Alessandrin'];['боевик'];6.5;13-й район: Ультиматум;2009
['Россия'];['Андрей Зайцев'];['мелодрама'];6.9;14+;2015
['Франция'];['Рене Клер'];['комедия'];7.0;14 июля;1933
['Франция'];['Пьер Морель'];['боевик'];7.1;13-й район;2004
['Франция', 'Канада', 'США'];['Камиль Деламарр'];['боевик'];5.6;13-й район: Кирпичные особняки;2014
['Великобритания'];['Джонти Эктон', 'Адам Мэйсон'];['Ужасы'];3.0;13-й знак;2000
['СССР'];['Сурен Бабаян'];['фантастический фильм'];5.7;Тринадцатый апостол;1988
['США'];['Майкл Бэй'];['военный', 'драма', 'триллер'];7.3;13 часов: Тайные солдаты Бенгази;2016
['Япония'];['Такаси Миикэ'];['боевик'];7.5;13 убийц;2010
['Нацистская Германия'];['Эмерих Йозеф Войтек'];['Комедия'];6.9;13 стульев;1938
['США'];['Уильям Касл'];['фильм ужасов'];6.0;13 призраков;1960
[];['Хакобо Мартинес'];['фильм ужасов'];4.4;13 изгнаний дьявола;2022
['США'];['Даниэль Штамм'];['триллер', 'фильм ужасов'];6.3;13 грехов;2014
['Румыния'];['Корнелиу Порумбою'];['комедия'];7.3;12:08 к востоку от Бухареста;2006
['Франция'];['Клод Лелуш', 'Жиль Ги', 'Франсуа Рейшенбах'];['документальный фильм', 'спортивный фильм'];6.7;13 дней во Франции;1968
['США'];['Роэль Рейн'];['боевик', 'триллер'];5.3;12 раундов: Перезагрузка;2013
['СССР'];['Марк Захаров'];['комедия', 'мюзикл', 'мелодрама'];8.2;Двенадцать стульев;1976
['США'];['Ренни Харлин'];['боевик', 'триллер', 'криминал'];5.6;12 раундов;2009
['Россия'];['Александр Баршак'];['романтическая', 'фэнтезийная комедия'];4.2;12 месяцев;2013
['СССР'];['Александр Белинский'];['телеспектакль'];6.9;12 стульев;1966
['СССР'];['Климентий Минц'];['комедия', 'сказка'];5.5;12 могил Ходжи Насреддина;1966
['СССР'];['Леонид Гайдай'];['комедия'];8.2;12 стульев  Внешние видеофайлы;1971
['Россия'];['Денис Елеонский'];['фильм-сказка', 'комедия', 'мелодрама', 'семейный фильм'];5.0;12 месяцев. Новая сказка;2015
['США'];['Терри Гиллиам'];['фантастика', 'триллер', 'драма', 'антиутопия'];8.0;12 обезьян;1995
['ЮАР'];['Джек Шолдер'];['ужасы', 'триллер', 'драма'];5.5;12 дней террора;2004
['США'];['Стив Маккуин'];['историческая', 'драма'];8.1;12 лет рабства;2013
['США'];['Уильям Фридкин'];['процессуальная драма'];7.8;12 разгневанных мужчин;
['США'];['Сидни Люмет'];['юридическая', 'драма'];9.0;12 разгневанных мужчин;1957
['США', 'Испания'];['Даррен Линн Боусман'];['фильм ужасов о сверхъестественном'];3.9;11-11-11;2011
['США', 'Канада'];['Грег Маркс'];['триллер', 'детектив', 'криминал', 'чёрная комедия'];7.1;11:14;2003
['Россия'];['Никита Михалков'];['психологический', 'триллер', 'юридический', 'детектив', 'драма', 'артхаус'];7.5;«12»;2007
['Франция'];['Филипп Годо'];['драма', 'Саундтрек'];5.7;11.6;2013
['Иран', 'Франция', 'Египет', 'Босния и Герцеговина', 'Буркина-Фасо', 'Великобритания', 'Мексика', 'Израиль', 'Индия', 'США', 'Япония'];['Самира Махмальбаф', 'Клод Лелуш', 'Юсеф Шахин', 'Данис Танович', 'Идрисса Уэдраого', 'Кен Лоуч', 'Алехандро Гонсалес Инарриту', 'Амос Гитай', 'Мира Наир', 'Шон Пенн', 'Сёхэй Имамура'];['драма', 'исторический', 'киноальманах'];6.8;11 сентября;2002
['США'];['Мартин Гиги'];['драма', 'фильм-катастрофа'];4.5;9/11;2017
['США', 'США'];['Хантер Уикс'];['Документальное кино'];6.6;10 миль в час;2007
['США'];['Брэд Силберлинг'];['комедийная драма'];6.5;10 шагов к успеху;2006
['США'];['Джил Джангер'];['романтическая комедия'];7.3;10 причин моей ненависти;1999
['США'];['Джеми Линден'];['драма', 'романтическая комедия'];6.1;10 лет спустя;2011
['Великобритания', 'США'];['Сьюзи Юинг'];['психологический триллер'];5.1;10 на 10;2018
